arm,cap_fraction,annual_cap_tco2,status,npv_cost,real_expenditure,voll_penalty,cum_emissions,cum_unserved,solar_total_mw,storage_mwh,system_lcoe,gas_share_2030,solar_share_2045
public_only_tight,1.0,7740634.934457617,optimal,236051210941.12823,7442988411.0,228608222530.0,160428682.99393004,40.09911819,10403.17134,0.0,874.3397039834084,0.6415150394407214,0.5837799707511722
public_only_tight,0.9625,7450361.124415456,optimal,256907983581.51083,7391560742.0,249516422839.0,156299134.34678,43.302601499999994,10694.684280000001,0.0,959.0208115167428,0.6723445011110912,0.5993882213887197
public_only_tight,0.925,7160087.314373296,optimal,308943825980.7073,7286750151.0,301657075830.0,150361834.05894005,50.60378663,10986.19732,0.0,1176.1597258333409,0.707272308803003,0.6149964741613749
public_only_tight,0.8875,6869813.504331134,optimal,365452367102.1735,7175881849.0,358276485253.0,144266083.82403004,58.75323730000001,11277.710210000001,0.0,1421.939886317467,0.7521352231352575,0.6306047238738673
public_only_tight,0.85,6579539.694288975,optimal,422350871900.729,7065013633.0,415285858267.0,138170333.58912,67.11828,11569.22325,0.0,1680.6053194450187,0.7895235075746377,0.6462129765850243
public_only_tight,0.8125,6289265.884246814,optimal,479444655219.6468,6954145372.0,472490509848.0,132074583.35420996,75.5912818,11860.7362,0.0,1952.2291068511229,0.8244646340460964,0.6618212275731392
public_only_tight,0.775,5998992.0742046535,optimal,536969156912.83594,6843277125.0,530125879788.0,125978833.11929993,84.32098232000001,12152.249189999999,0.0,2239.006174205071,0.8456053982873873,0.6774294793090991
public_only_tight,0.7375,5708718.264162493,optimal,594976669411.4979,6732408881.0,588244260530.0,119883082.88439003,93.33179170000001,12443.762169999998,0.0,2542.49475641386,0.8390186211020484,0.6930377308708482
public_only_tight,0.7,5418444.454120331,optimal,653088757161.3118,6621540639.0,646467216522.0,113787332.64948002,105.91169869999999,12271.74249,0.0,2862.0312683924285,0.8318447892891477,0.7012309632141831
public_only_tight,0.6625000000000001,5128170.644078172,optimal,711596195358.7812,6510672404.0,705085522955.0,107691582.41456997,116.28914430000003,12423.8324,0.0,3200.6476652715473,0.8240017593275849,0.7150551935890579
public_only_tight,0.625,4837896.83403601,optimal,770134898702.4667,6399804120.0,763735094582.0,101595832.17965996,125.63229330000003,12715.34531,0.0,3557.7990335358672,0.8153913127082177,0.7311841445523541
public_only_tight,0.5875,4547623.02399385,optimal,829312363775.0798,6288935865.0,823023427910.0,95500081.94475003,135.17170857000005,13006.85827,0.0,3939.0708506226574,0.8058950214380575,0.7473130963469459
public_only_tight,0.55,4257349.213951689,optimal,890335593689.2211,6178067605.0,884157526084.0,89404331.70984003,145.2782293,13298.371209999998,0.0,4355.388762007842,0.7953687682698648,0.7634420479227882
public_only_tight,0.5125,3967075.403909528,optimal,951358789751.4,6067199434.0,945291590318.0,83308585.27656001,155.3847461,13589.88424,0.0,4797.37473502985,0.7836353894357081,0.7795709928333864
public_only_tight,0.475,3676801.593867368,optimal,1012673757168.574,5956331177.0,1006717425992.0,77212835.04165001,169.48295839999997,13415.182879999998,0.0,5269.796565484138,0.7704745917207142,0.7902905091172109
public_only_tight,0.4375,3386527.7838252075,optimal,1075316769914.1488,5845462928.0,1069471306987.0,71117084.80673997,181.11092919999996,13596.99115,0.0,5784.686659138863,0.7556090366582443,0.8056355333551597
public_only_tight,0.4,3096253.973783047,optimal,1138805320953.6504,5734594699.0,1133070726255.0,65021334.57183001,192.16820629999995,13888.50419,0.0,6343.248834478647,0.7386845523269454,0.822295345646392
public_only_tight,0.36250000000000004,2805980.1637408864,optimal,1202344907663.3645,5623726423.0,1196721181241.0,58925584.33691998,204.21561743,14068.64877,0.0,6943.338320479767,0.7192415591487477,0.837923598568931
public_only_tight,0.32500000000000007,2515706.353698726,optimal,1266744771749.584,5512858169.0,1261231913581.0,52829834.10201001,219.4657221,13921.60791,0.0,7598.3028154002,0.6966727037510017,0.8509300333470845
public_only_tight,0.2875,2225432.543656565,optimal,1331884622983.443,5401989886.0,1326482633098.0,46734083.86709999,231.20553920000006,14213.1208,0.0,8314.45209980907,0.6701582729880085,0.8681304137951118
public_only_tight,0.25,1935158.7336144042,optimal,1397024429572.4395,5291121670.0,1391733307902.0,40638333.63219001,242.94535000000005,14504.6339,0.0,9091.42102506505,0.6385644898802371,0.8853307958549902
public_only_tight,0.21250000000000002,1644884.9235722437,optimal,1462382686792.1626,5180253401.0,1457202433391.0,34542583.39728,256.4243186400001,14611.075,0.0,9940.261661506614,0.6002771677123508,0.9014550714088755
public_only_tight,0.17500000000000004,1354611.1135300833,optimal,1527866539166.3562,5069385155.0,1522797154011.0,28446833.542533,270.90353309999995,14611.075,0.0,10870.034862154811,0.5529171132212131,0.9174090730448362
public_only_tight,0.13750000000000007,1064337.3034879228,optimal,1593350424540.9216,4958516903.0,1588391907638.0,22351083.307623006,285.38275120000003,14611.075,0.0,11890.836788276178,0.49282600056082126,0.9339379596617674
public_only_tight,0.1,774063.4934457617,optimal,1658834270335.3733,4847648657.0,1653986621678.0,16255333.452876003,299.86196519999993,14611.075,0.0,13016.722979116092,0.41407329887269734,0.9510733722223583
eaas_tight,1.0,7740634.934457617,optimal,9354203351.271326,9354203351.0,0.0,160428682.99393004,0.0,13107.65092,0.0,31.943339290196853,0.6383570177035829,0.6364267685198546
eaas_tight,0.9625,7450361.124415456,optimal,9454351788.11652,9454351788.0,0.0,156299134.34678,0.0,13399.163840000001,0.0,32.285332777878764,0.630220794550185,0.6500607640763599
eaas_tight,0.925,7160087.314373296,optimal,9901007823.585093,9901007824.0,0.0,150361834.05894005,0.0,13623.17023,1013.7569,33.81060258466108,0.6056667343733182,0.6605374910283625
eaas_tight,0.8875,6869813.504331134,optimal,10893317896.758785,10893317897.0,0.0,144266083.82403004,0.0,13623.17019,5391.4489,37.19920741095462,0.5811126791184305,0.66053749065453
eaas_tight,0.85,6579539.694288975,optimal,16121140315.57066,11378143516.0,4742996800.0,138170333.58912,0.47429968,13823.702809999999,6757.7143,55.14082378436031,0.5565586205427749,0.6699163555846598
eaas_tight,0.8125,6289265.884246814,optimal,23270588508.08799,11632726508.0,11637862000.0,132074583.35420996,1.1637862,14115.215769999999,6757.7143,79.78298401836965,0.5320045639334086,0.6835503518631751
eaas_tight,0.775,5998992.0742046535,optimal,30420036574.086227,11887309574.0,18532727000.0,125978833.11929993,1.8532727,14406.728787,6757.7143,104.54192263007663,0.5074505047880264,0.6971843489796985
