retirement_label,retirement_mw_yr,gas_case,eps,eps_label,status,npv_cost,unserved_total_twh,horizon_reliability,solar_total_mw
default,680.0,downside,0.1,eps_0.10,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
default,680.0,downside,0.08,eps_0.08,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
default,680.0,downside,0.06,eps_0.06,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
default,680.0,downside,0.05,eps_0.05,feasible,64495347959.08288,15.134238,0.9794887105671335,14403.51769
default,680.0,shock_recovery,,voll_only,feasible,9477572989.183296,0.0,1.0,12010.80758
default,680.0,shock_recovery,0.2,eps_0.20,feasible,9477572989.183296,0.0,1.0,12010.80758
default,680.0,shock_recovery,0.15,eps_0.15,feasible,9477572989.183296,0.0,1.0,12010.80758
default,680.0,shock_recovery,0.1,eps_0.10,feasible,9477572989.183296,0.0,1.0,12010.80758
default,680.0,shock_recovery,0.08,eps_0.08,feasible,9477572989.183296,0.0,1.0,12010.80758
default,680.0,shock_recovery,0.06,eps_0.06,feasible,9477572989.183296,0.0,1.0,12010.80758
default,680.0,shock_recovery,0.05,eps_0.05,feasible,9477572989.183296,0.0,1.0,12010.80758
fast,1360.0,baseline,,voll_only,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,baseline,0.2,eps_0.20,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,baseline,0.15,eps_0.15,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,baseline,0.1,eps_0.10,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,baseline,0.08,eps_0.08,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,baseline,0.06,eps_0.06,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,baseline,0.05,eps_0.05,feasible,10263145780.631544,0.0,1.0,20881.330149999998
fast,1360.0,upside,,voll_only,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,upside,0.2,eps_0.20,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,upside,0.15,eps_0.15,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,upside,0.1,eps_0.10,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,upside,0.08,eps_0.08,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,upside,0.06,eps_0.06,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,upside,0.05,eps_0.05,feasible,10064224847.827785,0.0,1.0,20881.330169999997
fast,1360.0,downside,,voll_only,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,downside,0.2,eps_0.20,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,downside,0.15,eps_0.15,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,downside,0.1,eps_0.10,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,downside,0.08,eps_0.08,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,downside,0.06,eps_0.06,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,downside,0.05,eps_0.05,feasible,94603267791.41937,34.443470000000005,0.9533190913052738,14403.51769
fast,1360.0,shock_recovery,,voll_only,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
fast,1360.0,shock_recovery,0.2,eps_0.20,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
fast,1360.0,shock_recovery,0.15,eps_0.15,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
fast,1360.0,shock_recovery,0.1,eps_0.10,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
fast,1360.0,shock_recovery,0.08,eps_0.08,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
fast,1360.0,shock_recovery,0.06,eps_0.06,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
fast,1360.0,shock_recovery,0.05,eps_0.05,feasible,14551409267.53759,2.80919804,0.9961927205008484,19926.29019
