year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,1.7660195793360003,0.0,3.8301804,7360679.8,4292732100.0,0.0,1.0,0.0
2026,24.0032,40.66,36.852204,15.84644772,4.131219579336001,0.0,4.0255326,6671354.49012,0.0,21557.111,0.9090909090909091,0.0
2027,24.963328,40.66,33.028686,14.20233498,6.496419579336002,0.0,4.2645732,5979183.02658,0.0,19597.373,0.8264462809917354,0.0
2028,25.961861120000002,40.66,29.205169,12.558222670000001,8.861619579336002,0.0,4.5420191,5287011.744070001,0.0,17815.794,0.7513148009015775,0.0
2029,27.000335564800004,40.66,25.381651,10.91410993,11.226819579336004,0.0,4.8594062,4594840.28053,0.0,16196.176,0.6830134553650705,0.0
2030,28.080348987392,40.66,21.558133,9.26999719,13.592019579336004,0.0,5.2183323,3902668.8169899997,0.0,14723.797,0.6209213230591549,0.0
2031,29.203562946887686,40.66,21.558133,9.26999719,15.957219579336005,0.0,3.9763463,3902668.8169899997,0.0,13385.27,0.5644739300537772,0.0
2032,30.371705464763192,40.66,21.558133,9.26999719,18.322419579336003,0.0,2.7792888,3902668.8169899997,0.0,12168.427,0.5131581182307065,0.0
2033,31.58657368335372,40.66,21.558133,9.26999719,20.687619579336005,0.0,1.628957,3902668.8169899997,0.0,11062.206,0.4665073802097331,0.0
2034,32.85003663068787,40.66,21.558133,9.26999719,23.052819579336006,0.0,0.52721996,3902668.8169899997,0.0,10056.551,0.42409761837248455,0.0
2035,34.16403809591539,40.66,21.558133,9.26999719,24.894041000148004,0.0,0.0,3902668.8169899997,0.0,3584.3777,0.3855432894295314,0.0
2036,35.530599619752,40.66,21.558133,9.26999719,26.260602519132007,0.0,0.0,3902668.8169899997,0.0,3567.3416,0.3504938994813922,0.0
2037,36.951823604542085,40.66,21.558133,9.26999719,27.681826506444004,0.0,0.0,3902668.8169899997,0.0,2868.7149,0.3186308177103565,0.0
2038,38.42989654872377,40.66,21.558133,9.26999719,29.159899447572005,0.0,0.0,3902668.8169899997,0.0,2579.5648,0.2896643797366877,0.0
2039,39.96709241067272,40.66,21.558133,9.26999719,30.697095316752005,0.0,0.0,3902668.8169899997,0.0,2061.4809,0.26333125430607973,0.0
2040,41.56577610709963,40.66,21.558133,9.26999719,32.295779006508006,0.0,0.0,3902668.8169899997,0.0,2108.4355,0.23939204936916333,0.0
2041,43.228407151383614,40.66,21.558133,9.26999719,33.95841004101601,0.0,0.0,3902668.8169899997,0.0,2207.6394,0.2176291357901485,0.0
2042,44.957543437438964,40.66,21.558133,9.26999719,34.19493004101601,0.0,1.4926163,3902668.8169899997,0.0,4691.4554,0.19784466890013497,0.0
2043,46.75584517493653,40.66,21.558133,9.26999719,34.43145004101601,0.0,3.054398,3902668.8169899997,0.0,4264.9594,0.17985878990921358,0.0
2044,48.626078981933986,40.66,21.558133,9.26999719,34.667970041016005,0.0,4.6881118,3902668.8169899997,0.0,3877.2359,0.16350799082655781,0.0
2045,50.57112214121135,40.66,21.558133,9.26999719,34.90449004101601,0.0,6.396635,3902668.8169899997,0.0,3524.7599,0.14864362802414344,0.0
