arm,carbon_price,status,npv_cost,real_expenditure,carbon_cost,cum_emissions,cum_unserved,solar_total_mw,storage_mwh,system_lcoe,solar_share_2030,gas_share_2030,solar_share_2035,gas_share_2035,solar_share_2045,gas_share_2045
public_unconstrained,0,optimal,9312130762.041323,9312130762.0,0.0,162553333.62360996,0.0,12713.829209999998,0.0,31.79966727916939,0.3616429785326127,0.6383570214673874,0.46206815654328637,0.5379318434567136,0.618007818884885,0.3819921811151151
public_unconstrained,5,optimal,9674331658.766602,9674331659.0,362200897.0,162553333.62360996,0.0,12713.829209999998,0.0,33.03653436130171,0.3616429785326127,0.6383570214673874,0.46206815654328637,0.5379318434567136,0.618007818884885,0.3819921811151151
public_unconstrained,10,optimal,10036532555.491879,10036532555.0,724401793.0,162553333.62360996,0.0,12713.829209999998,0.0,34.273401443434025,0.3616429785326127,0.6383570214673874,0.46206815654328637,0.5379318434567136,0.618007818884885,0.3819921811151151
public_unconstrained,15,optimal,10398733452.217157,10398733452.0,1086602690.0,162553333.62360996,0.0,12713.829209999998,0.0,35.51026852556634,0.3616429785326127,0.6383570214673874,0.46206815654328637,0.5379318434567136,0.618007818884885,0.3819921811151151
public_unconstrained,20,optimal,10760731400.241089,10760731400.0,1445991178.0,162019327.70900998,0.0,12713.829179999999,0.0,36.746442583921706,0.3616429785326127,0.6383570214673874,0.46206815654328637,0.5379318434567136,0.6180078183489142,0.3819921816510857
public_unconstrained,30,optimal,11460100857.834879,11460100858.0,2040354587.0,144642399.39343998,0.0,12713.82924,0.0,39.13469468364703,0.3616429785326127,0.6383570214673874,0.49245542813797416,0.5075445718620258,0.6180078194208556,0.38199218057914447
public_unconstrained,40,optimal,12115119624.728065,12115119625.0,2610967294.0,136444299.61454996,0.0,12713.829199999998,0.0,41.3714952136879,0.3616429785326127,0.6383570214673874,0.5647442858409666,0.43525571415903336,0.618007818706228,0.38199218129377194
public_unconstrained,50,optimal,12767861448.296022,12767861448.0,3263709118.0,136444299.61454996,0.0,12713.829199999998,0.0,43.60052027212778,0.3616429785326127,0.6383570214673874,0.5647442858409666,0.43525571415903336,0.618007818706228,0.38199218129377194
public_unconstrained,60,optimal,13412899531.044422,13412899531.0,3807305205.0,131695340.71072997,0.0,12713.8292,0.0,45.80323807381454,0.3616429785326127,0.6383570214673874,0.6688863854946261,0.3311136145053739,0.618007818706228,0.38199218129377194
public_unconstrained,75,optimal,14290277956.199879,14290277956.0,3953697332.0,90505586.132249,0.0,16448.05363,0.0,48.79936675688455,0.3616429785326127,0.6383570214673874,0.804677234864236,0.1953227651357639,0.7926566536951962,0.20734334630480383
public_unconstrained,100,optimal,15531822875.364288,15531822875.0,4516137926.0,69645940.5725272,0.0,17573.894809999998,0.0,53.03907475996475,0.3616429785326127,0.6383570214673874,0.9895510891535736,0.010448910846426412,0.8453119913001761,0.15468800869982394
public_unconstrained,125,optimal,16598708709.558115,16598708710.0,4534845131.0,51238598.17915599,0.0,18176.85065,0.0,56.682345476490525,0.6194856636208215,0.3805143363791786,1.0,0.0,0.8735121034279897,0.12648789657201037
public_unconstrained,150,optimal,17292972735.112278,17292972735.0,2903070573.0,25001093.859102998,0.0,18807.924610000002,0.0,59.05316340068877,1.0,0.0,1.0,0.0,0.9030272882484341,0.09697271175156583
public_tight,0,optimal,228743896274.61685,7460276018.0,0.0,162553333.62360996,38.291396,10170.67811,0.0,844.9807469239171,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,5,optimal,229106097171.34213,7822476915.0,362200897.0,162553333.62360996,38.291396,10170.67811,0.0,846.3187182938024,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,10,optimal,229468298068.0674,8184677812.0,724401793.0,162553333.62360996,38.291396,10170.67811,0.0,847.6566896636876,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,15,optimal,229830498964.7927,8546878708.0,1086602690.0,162553333.62360996,38.291396,10170.67811,0.0,848.9946610335728,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,20,optimal,230192699861.51797,8909079605.0,1448803587.0,162553333.62360996,38.291396,10170.67811,0.0,850.3326324034581,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,30,optimal,230917101654.9685,9633481399.0,2173205380.0,162553333.62360996,38.291396,10170.67811,0.0,853.0085751432285,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,40,optimal,231641503448.41907,10357883192.0,2897607174.0,162553333.62360996,38.291396,10170.67811,0.0,855.684517882999,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,50,optimal,232365905241.86963,11082284985.0,3622008967.0,162553333.62360996,38.291396,10170.67811,0.0,858.3604606227696,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,60,optimal,233090307035.3202,11806686779.0,4346410761.0,162553333.62360996,38.291396,10170.67811,0.0,861.0364033625401,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,75,optimal,234176909725.49603,12893289469.0,5433013451.0,162553333.62360996,38.291396,10170.67811,0.0,865.0503174721958,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,100,optimal,235987914209.1224,14704293953.0,7244017935.0,162553333.62360996,38.291396,10170.67811,0.0,871.740174321622,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,125,optimal,237798918692.7488,16515298436.0,9055022418.0,162553333.62360996,38.291396,10170.67811,0.0,878.4300311710483,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
public_tight,150,optimal,239609923176.37518,18326302920.0,10866026902.0,162553333.62360996,38.291396,10170.67811,0.0,885.1198880204745,0.3616429822964171,0.6383570177035829,0.4620681591501839,0.537931840849816,0.5664389367181135,0.43356106328188654
eaas_tight,0,optimal,9312130747.481323,9312130747.0,0.0,162553333.62360996,0.0,12713.829199999998,0.0,31.799667253883676,0.36164297799492634,0.6383570220050737,0.46206815617087243,0.5379318438291276,0.618007818706228,0.38199218129377194
