gas_case,eps,eps_label,reliability,npv_cost,unserved_total,horizon_reliability,dual_usd_per_twh,dual_usd_per_pct_pt,binding,primal_slack_twh,total_demand_twh,gas_shadow_mean,status
baseline,,voll_only,,24133122270.642654,1.409796,0.9980893168326481,,,,,737.8491756714947,212322443.14571425,feasible
baseline,0.2,eps_0.20,0.8,24133122270.642654,1.409796,0.9980893168326481,,0.0,False,146.16003913429893,737.8491756714947,212322443.14571425,feasible
baseline,0.15,eps_0.15,0.85,24133122270.642654,1.409796,0.9980893168326481,,0.0,False,109.2675803507242,737.8491756714947,212322443.14571425,feasible
baseline,0.1,eps_0.10,0.9,24133122270.642654,1.409796,0.9980893168326481,,0.0,False,72.37512156714946,737.8491756714947,212322443.14571425,feasible
baseline,0.08,eps_0.08,0.92,24133122270.642654,1.409796,0.9980893168326481,,0.0,False,57.618138053719576,737.8491756714947,212322443.14571425,feasible
baseline,0.06,eps_0.06,0.94,24133122270.642654,1.409796,0.9980893168326481,,0.0,False,42.861154540289675,737.8491756714947,212322443.14571425,feasible
baseline,0.05,eps_0.05,0.95,24133122270.642654,1.409796,0.9980893168326481,,0.0,False,35.48266278357473,737.8491756714947,212322443.14571425,feasible
upside,,voll_only,,23758157366.396156,1.409796,0.9980893168326481,,,,,737.8491756714947,212322443.14571425,feasible
upside,0.2,eps_0.20,0.8,23758157366.396156,1.409796,0.9980893168326481,,0.0,False,146.16003913429893,737.8491756714947,212322443.14571425,feasible
upside,0.15,eps_0.15,0.85,23758157366.396156,1.409796,0.9980893168326481,,0.0,False,109.2675803507242,737.8491756714947,212322443.14571425,feasible
upside,0.1,eps_0.10,0.9,23758157366.396156,1.409796,0.9980893168326481,,0.0,False,72.37512156714946,737.8491756714947,212322443.14571425,feasible
upside,0.08,eps_0.08,0.92,23758157366.396156,1.409796,0.9980893168326481,,0.0,False,57.618138053719576,737.8491756714947,212322443.14571425,feasible
upside,0.06,eps_0.06,0.94,23758157366.396156,1.409796,0.9980893168326481,,0.0,False,42.861154540289675,737.8491756714947,212322443.14571425,feasible
upside,0.05,eps_0.05,0.95,23758157366.396156,1.409796,0.9980893168326481,,0.0,False,35.48266278357473,737.8491756714947,212322443.14571425,feasible
downside,,voll_only,,26215543624.11805,1.47637,0.997999089720936,,,,,737.8491756714947,396932070.1457142,feasible
downside,0.2,eps_0.20,0.8,26215543624.11805,1.47637,0.997999089720936,,0.0,False,146.09346513429892,737.8491756714947,396932070.1457142,feasible
downside,0.15,eps_0.15,0.85,26215543624.11805,1.47637,0.997999089720936,,0.0,False,109.2010063507242,737.8491756714947,396932070.1457142,feasible
downside,0.1,eps_0.10,0.9,26215543624.11805,1.47637,0.997999089720936,,0.0,False,72.30854756714946,737.8491756714947,396932070.1457142,feasible
downside,0.08,eps_0.08,0.92,26215543624.11805,1.47637,0.997999089720936,,0.0,False,57.551564053719574,737.8491756714947,396932070.1457142,feasible
downside,0.06,eps_0.06,0.94,26215543624.11805,1.47637,0.997999089720936,,0.0,False,42.79458054028967,737.8491756714947,396932070.1457142,feasible
downside,0.05,eps_0.05,0.95,26215543624.11805,1.47637,0.997999089720936,,0.0,False,35.41608878357473,737.8491756714947,396932070.1457142,feasible
shock_recovery,,voll_only,,24081434140.036915,1.409796,0.9980893168326481,,,,,737.8491756714947,212322443.14571425,feasible
shock_recovery,0.2,eps_0.20,0.8,24081434140.036915,1.409796,0.9980893168326481,,0.0,False,146.16003913429893,737.8491756714947,212322443.14571425,feasible
shock_recovery,0.15,eps_0.15,0.85,24081434140.036915,1.409796,0.9980893168326481,,0.0,False,109.2675803507242,737.8491756714947,212322443.14571425,feasible
shock_recovery,0.1,eps_0.10,0.9,24081434140.036915,1.409796,0.9980893168326481,,0.0,False,72.37512156714946,737.8491756714947,212322443.14571425,feasible
shock_recovery,0.08,eps_0.08,0.92,24081434140.036915,1.409796,0.9980893168326481,,0.0,False,57.618138053719576,737.8491756714947,212322443.14571425,feasible
shock_recovery,0.06,eps_0.06,0.94,24081434140.036915,1.409796,0.9980893168326481,,0.0,False,42.861154540289675,737.8491756714947,212322443.14571425,feasible
shock_recovery,0.05,eps_0.05,0.95,24081434140.036915,1.409796,0.9980893168326481,,0.0,False,35.48266278357473,737.8491756714947,212322443.14571425,feasible
