demand_level,ndc_label,financing_arm,npv_cost_b_usd,cost_premium_vs_served_pct,cumulative_unserved_twh,horizon_reliability,solar_total_mw,status
served,ndc2_conditional,eaas,11.837365964872882,0.0,0.0,1.0,16962.00102,optimal
latent_low,ndc2_conditional,eaas,448.8657879734664,3691.9397719515096,49.30353350000001,0.9599111066929811,28969.309230000003,optimal
latent_high,ndc2_conditional,eaas,4521.055735205898,38093.08914349719,953.075116,0.6124751059031954,42000.0,optimal
served,ndc2_conditional,public_only,11.837365964872882,0.0,0.0,1.0,16962.00102,optimal
latent_low,ndc2_conditional,public_only,1506.8965418222529,12629.99877079018,249.87237768,0.7968278056747263,25373.03372,optimal
latent_high,ndc2_conditional,public_only,6383.60170876075,53827.55219112043,1467.5964549999999,0.40326827208788363,26610.994599999998,optimal
served,ndc2_unconditional,eaas,10.508713098432352,0.0,0.0,1.0,14965.36175,optimal
latent_low,ndc2_unconditional,eaas,359.8648714799817,3324.442822914871,37.210691,0.9697438435851774,27332.669940000003,optimal
latent_high,ndc2_unconditional,eaas,4341.518805063189,41213.5154076177,924.0090140000001,0.6242935217974541,42000.0,optimal
served,ndc2_unconditional,public_only,43.69142268486372,0.0,11.4835442,0.9844364613004424,12891.956269999999,optimal
latent_low,ndc2_unconditional,public_only,1743.6421547389507,3890.811119416835,320.6366123,0.7392891334894147,21314.44931,optimal
latent_high,ndc2_unconditional,public_only,6623.419059129105,15059.540825443748,1550.172113,0.3696926151598897,21314.44931,optimal
served,ndc3_conditional,eaas,10.963608067534704,0.0,0.0,1.0,16157.79029,optimal
latent_low,ndc3_conditional,eaas,373.436735354063,3306.148168137085,38.96199250000001,0.9683198535788238,28525.098560000002,optimal
latent_high,ndc3_conditional,eaas,4329.542708343179,39390.12662322146,909.11356,0.6303500845352372,42000.0,optimal
served,ndc3_conditional,public_only,10.963608067534702,0.0,0.0,1.0,16157.79029,optimal
latent_low,ndc3_conditional,public_only,1322.693851036142,11964.402912695194,216.13596925999997,0.8242590095196068,24568.822940000002,optimal
latent_high,ndc3_conditional,public_only,6192.088697672291,56378.56672301362,1423.634904,0.42114324868690145,26610.994599999998,optimal
served,ndc3_unconditional,eaas,10.46414343362477,0.0,0.0,1.0,15143.5462,optimal
latent_low,ndc3_unconditional,eaas,352.0978496676579,3264.8033582591247,36.17963414,0.9705821998959682,27510.85446,optimal
latent_high,ndc3_unconditional,eaas,4340.781204977184,41382.43219821329,926.910118,0.6231139190552462,42000.0,optimal
served,ndc3_unconditional,public_only,38.33747044101976,0.0,10.9480241,0.9851622466203387,13070.1407,optimal
latent_low,ndc3_unconditional,public_only,1742.9045500185134,4446.216873384704,323.53771570000004,0.7369302351221154,21314.44931,optimal
latent_high,ndc3_unconditional,public_only,6622.681455262536,17174.69595431757,1553.0732150000001,0.36851301323089114,21314.44931,optimal
