case,n_optimal,n_infeasible,cost_mean,cost_std,cost_p10,cost_p50,cost_p90,unserved_mean,unserved_p10,unserved_p50,unserved_p90,lcoe_mean,lcoe_p10,lcoe_p50,lcoe_p90,real_exp_mean,voll_mean
NDC3 uncond (public),500,0,488745355420.1373,182440841599.1635,284326499212.8106,469991743148.6356,721745069199.4915,91.6301581012805,41.98818172500001,79.44567864999999,153.98501201000002,1974.5807874339162,1181.5469618183943,1907.914336239568,2880.6681687519726,6943873313.326,481801482106.788
NDC3 uncond (EaaS),500,0,10594830076.157146,1225330852.1921828,9177014603.221455,10530268219.318165,12148960871.01588,0.0,0.0,0.0,0.0,35.881238072632385,34.127366169169406,35.90269165723071,37.68773235212645,10594830076.152,0.0
NDC3 cond (public),500,0,152533065237.7404,134159390714.68481,9582643907.349983,129280057212.71094,336529956237.97125,27.0755167546852,0.0,21.396731850000002,62.133556614,531.4765631891016,35.89729132298121,459.19545002106827,1157.44907690627,9831669161.25,142701396076.482
NDC3 cond (EaaS),500,0,11064448577.488472,1221103399.9747624,9582643907.349983,10998421343.048897,12648425486.182714,0.0,0.0,0.0,0.0,37.485414369038516,35.89729132298121,37.503569452843585,39.10931097758752,11064448577.468,0.0
