from_case,to_case,delta_cost_usd,delta_emissions_tco2,implied_mac_usd_per_tco2
baseline_no_policy,ndc2_unconditional,469138807902.02563,26451769.056560054,17735.630720913123
ndc2_unconditional_eaas,ndc3_unconditional,448918765385.71686,1221365.7817699611,367554.72609946487
ndc3_unconditional_eaas,ndc3_conditional,101486137037.59932,16057556.874460012,6320.148066796875
ndc3_conditional_eaas,ndc2_conditional,261960335683.5777,18507813.67406991,14154.040033944864
