case,npv_total_cost_usd,cumulative_emissions_tco2,cumulative_unserved_twh,solar_total_built_mw,storage_capacity_mwh
baseline_no_policy,9312130762.041323,162553333.62360996,0.0,12713.829209999998,
ndc2_unconditional,456061274411.11206,130800016.65706995,83.17476386,11508.540830000002,0.0
ndc2_conditional,278560109618.27826,94109621.83293998,49.12824915,14158.5536,0.0
ndc2_unconditional_eaas,26889795746.391518,130800016.65706995,1.57405248,14365.976170000002,6757.7143
ndc2_conditional_eaas,57348883545.03447,94109621.83293998,5.12946006,15693.03315,17570.057099999998
ndc3_unconditional,476545075177.7699,126901140.96166997,88.27825250000001,11836.110929999999,0.0
ndc3_conditional,128138295397.44144,110843584.08720995,21.72866844,14084.384829999999,0.0
ndc3_unconditional_eaas,26652158359.84212,126901140.96166997,1.54161221,14693.54624,6757.7143
ndc3_conditional_eaas,29660146669.605778,110843584.08720995,1.81984802,15707.79033,6757.7143
