case,adequacy_cum_unserved_twh,adequacy_peak_unserved_twh,adequacy_years_with_unserved,sustainability_cum_emissions_tco2,sustainability_binding_years,sustainability_avg_carbon_shadow_binding_only
baseline_no_policy,0.0,0.0,0,154574275.8,0,0.0
ndc3_unconditional,137.62318379,15.945209,19,12486073.336661,20,9741.28604
ndc3_conditional,88.53082442,15.195052,12,10030805.86199,20,7707.303020154999
ndc3_unconditional_eaas,82.69883502,13.402649,12,12486073.336661,20,7707.303020154999
ndc3_conditional_eaas,88.53082442,15.195052,12,10030805.86199,20,7707.303020154999
