case,npv_total_cost_usd,cumulative_emissions_tco2
baseline_no_policy,9527136237.188107,154574275.79999998
ndc2_unconditional,478665944139.21375,128122506.74343993
ndc2_unconditional_eaas,27626309792.053013,128122506.74343993
ndc3_unconditional,476545075177.7699,126901140.96166997
ndc3_unconditional_eaas,26652158359.84212,126901140.96166997
ndc3_conditional,128138295397.44144,110843584.08720995
ndc3_conditional_eaas,29660146669.605778,110843584.08720995
ndc2_conditional,291620482353.1835,92335770.41314004
ndc2_conditional_eaas,62364282525.03957,92335770.41314004
