initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,5.881756678093231
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,5.595363002633749
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,5.2435014877722965
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,1.7398990932199263
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,1.6701383820292142
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,1.6692528258097452
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,5.1219125139376445
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2021,5.1219125139376445
Baja California carbon tax,Carbon tax,Baja California,Latin America & Caribbean,Upper middle income,2020,2021,8.317025440313111
BC carbon tax,Carbon tax,British Columbia,North America,High income,2008,2021,35.813768404297655
BC OBPS,ETS,British Columbia,North America,High income,2016,2021,19.896538002387587
Beijing pilot ETS,ETS,Beijing,East Asia & Pacific,Upper middle income,2013,2021,4.323279666433333
California CaT,ETS,California,North America,High income,2012,2021,17.94
Canada federal fuel charge,Carbon tax,Canada,North America,High income,2019,2021,31.834460803820136
Canada federal OBPS,ETS,Canada,North America,High income,2019,2021,31.834460803820136
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,High income,2017,2021,5.0
Chongqing pilot ETS,ETS,Chongqing,East Asia & Pacific,Upper middle income,2014,2021,3.7145813677450774
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Upper middle income,2017,2021,0.0013380038588031288
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,2021,28.140814428276396
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,High income,2000,2021,2.3492000008475915
EU ETS,ETS,EU,Europe & Central Asia,High income,2005,2021,49.779548017960465
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2021,90.44420003263227
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2021,62.25380002246117
France carbon tax,Carbon tax,France,Europe & Central Asia,High income,2014,2021,52.38716001890129
Fujian pilot ETS,ETS,Fujian,East Asia & Pacific,Upper middle income,2016,2021,1.2463097665642024
Germany ETS,ETS,Germany,Europe & Central Asia,High income,2021,2021,29.36500001059489
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,2013,2021,5.715677024682717
Hubei pilot ETS,ETS,Hubei,East Asia & Pacific,Upper middle income,2014,2021,4.411540919743129
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,35.362093850068334
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,37.77994261259058
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,34.75635159141584
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2021,32.53441984137434
