initiative,instrument,jurisdiction,region,income_group,start_year,year,carbon_price
Beijing pilot ETS,ETS,Beijing,East Asia & Pacific,Upper middle income,2013,2023,12.957705466986969
California CaT,ETS,California,North America,High income,2012,2023,29.84
Canada federal fuel charge,Carbon tax,Canada,North America,High income,2019,2023,48.030739673390975
Canada federal OBPS,ETS,Canada,North America,High income,2019,2023,48.030739673390975
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,High income,2017,2023,5.0
China national ETS,ETS,China,East Asia & Pacific,Upper middle income,2021,2023,8.153162990463711
Chongqing pilot ETS,ETS,Chongqing,East Asia & Pacific,Upper middle income,2014,2023,4.658950280264977
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Upper middle income,2017,2023,5.055810445467845
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,2023,26.528645681247443
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,High income,2000,2023,2.175
EU ETS,ETS,EU,Europe & Central Asia,High income,2005,2023,96.29812499999998
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2023,83.7375
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2023,57.637499999999996
France carbon tax,Carbon tax,France,Europe & Central Asia,High income,2014,2023,48.5025
Fujian pilot ETS,ETS,Fujian,East Asia & Pacific,Upper middle income,2016,2023,4.658950280264977
Germany ETS,ETS,Germany,Europe & Central Asia,High income,2021,2023,32.625
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,2013,2023,12.341850476814441
Hubei pilot ETS,ETS,Hubei,East Asia & Pacific,Upper middle income,2014,2023,6.962218825070976
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,36.10866608490465
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,38.533060178324575
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,35.61710053758785
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,37.40412684426335
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,3.216224178544182
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,18.33247781770184
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,18.005112142385734
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2023,6.0106484648202745
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,High income,2010,2023,52.74374999999999
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,High income,2012,2023,2.1651183697932277
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Upper middle income,2013,2023,1.1248744559758954
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,High income,2015,2023,11.236385948765149
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,High income,2004,2023,16.3125
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,High income,2008,2023,130.81157682454898
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2023,45.00075
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2023,48.111
Massachusetts ETS,ETS,Massachusetts,North America,High income,2018,2023,12.05
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,3.78965238521885
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,3.7517558613666604
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,4.079374332705567
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,3.9426622419301727
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,3.979561959738294
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,3.0934832704187376
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,4.009089229358358
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,0.4125085047999951
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,1.1486781347867607
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,0.9453841579992294
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2023,3.3354543690934793
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Upper middle income,2020,2023,0.0
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,2023,60.83474999999999
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,2023,17.834999999999997
New Brunswick carbon tax,Carbon tax,New Brunswick,North America,High income,2020,2023,48.030739673390975
New Brunswick OBPS,ETS,New Brunswick,North America,High income,2021,2023,48.030739673390975
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,High income,2008,2023,34.19875
Newfoundland and Labrador carbon tax,Carbon tax,Newfoundland and Labrador,North America,High income,2019,2023,48.030739673390975
Newfoundland and Labrador PSS,ETS,Newfoundland and Labrador,North America,High income,2019,2023,48.030739673390975
Northwest Territories carbon tax,Carbon tax,Northwest Territories,North America,High income,2019,2023,48.030739673390975
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2023,94.4908945138014
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2023,7.635627839499103
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2023,23.57500095445348
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2023,9.067308059405185
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2023,94.30000381781392
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2023,71.77490169129156
Nova Scotia OBPS,ETS,Nova Scotia,North America,High income,2019,2023,20.87489839651223
Ontario EPS,ETS,Ontario,North America,High income,2022,2023,48.030739673390975
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2023,0.079191316905017
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2023,0.00316765267620068
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2023,0.077510885288892
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2023,0.35529850386435646
Poland carbon tax,Carbon tax,Poland,Europe & Central Asia,High income,1990,2023,15.321730205536475
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2023,25.751393893507938
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2023,24.05387350307791
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2023,25.06722232507283
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2023,25.975935828877002
Portugal carbon tax,Carbon tax,Portugal,Europe & Central Asia,High income,2015,2023,28.734973450022117
Prince Edward Island Carbon tax,Carbon tax,Prince Edward Island,North America,High income,2019,2023,36.94672282568536
Quebec CaT,ETS,Quebec,North America,High income,2013,2023,29.84
Queretaro carbon tax,Carbon tax,Queretaro,Latin America & Caribbean,Upper middle income,2022,2023,32.200205082725944
RGGI,ETS,RGGI,North America,High income,2009,2023,15.3882476
Saitama ETS,ETS,Saitama,East Asia & Pacific,High income,2011,2023,1.0788133053640996
Saskatchewan OBPS,ETS,Saskatchewan,North America,High income,2019,2023,48.030739673390975
Shanghai pilot ETS,ETS,Shanghai,East Asia & Pacific,Upper middle income,2013,2023,8.720972555871006
Shenzhen pilot ETS,ETS,Shenzhen,East Asia & Pacific,Upper middle income,2013,2023,8.769017980636237
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,High income,2019,2023,3.7678975131876413
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,High income,1996,2023,0.0
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Upper middle income,2019,2023,8.925614267510202
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,High income,2014,2023,16.3125
State of Mexico carbon tax,Carbon tax,State of Mexico,Latin America & Caribbean,Upper middle income,2022,2023,2.3833938419754457
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,High income,2008,2023,130.81157682454898
Switzerland ETS,ETS,Switzerland,Europe & Central Asia,High income,2008,2023,93.80775
Tamaulipas carbon tax,Carbon tax,Tamaulipas,Latin America & Caribbean,Upper middle income,2022,2023,17.25022863952554
Tianjin pilot ETS,ETS,Tianjin,East Asia & Pacific,Upper middle income,2013,2023,4.603625245686831
Tokyo CaT,ETS,Tokyo,East Asia & Pacific,High income,2010,2023,41.95385076415943
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,High income,2013,2023,22.2759
UK ETS,ETS,United Kingdom,Europe & Central Asia,High income,2021,2023,88.12593549999998
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Lower middle income,2011,2023,0.8203759509524564
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,High income,2022,2023,155.86835023804593
Washington CCA,ETS,Washington,North America,High income,2023,2023,22.2
Yucatan carbon tax,Carbon tax,Yucatan,Latin America & Caribbean,Upper middle income,2022,2023,15.52531663110052
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Upper middle income,2017,2023,13.856940941717706
Albania Carbon tax,Carbon tax,Albania,Europe & Central Asia,Upper middle income,2008,2024,13.111355068777609
Alberta TIER,ETS,Alberta,North America,High income,2007,2024,58.94488653109343
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,0.8115542659391076
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,4.39362542496994
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,4.001163236306331
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,3.8063391543059497
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,0.7986515189838377
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,2.3699177256660873
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,2.2717948303924875
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,2.2714811737040113
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,3.4849875303405295
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Upper middle income,2018,2024,3.4849875303405295
Australia Safeguard Mechanism,ETS,Australia,East Asia & Pacific,High income,2023,2024,21.903750000000002
Austria ETS,ETS,Austria,Europe & Central Asia,High income,2022,2024,48.3705
BC carbon tax,Carbon tax,British Columbia,North America,High income,2008,2024,58.94488653109343
BC OBPS,ETS,British Columbia,North America,High income,2016,2024,58.94488653109343
Beijing pilot ETS,ETS,Beijing,East Asia & Pacific,Upper middle income,2013,2024,14.512183323428193
California CaT,ETS,California,North America,High income,2012,2024,38.59
Canada federal fuel charge,Carbon tax,Canada,North America,High income,2019,2024,58.94488653109343
Canada federal OBPS,ETS,Canada,North America,High income,2019,2024,58.94488653109343
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,High income,2017,2024,5.0
China national ETS,ETS,China,East Asia & Pacific,Upper middle income,2021,2024,12.573079208878692
Chongqing pilot ETS,ETS,Chongqing,East Asia & Pacific,Upper middle income,2014,2024,5.9886943181347005
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Upper middle income,2017,2024,6.6785467441529365
Denmark carbon tax,Carbon tax,Denmark,Europe & Central Asia,High income,1992,2024,28.204943431577426
Durango carbon tax,Carbon tax,Durango,Latin America & Caribbean,Upper middle income,2024,2024,6.035986551821963
Estonia carbon tax,Carbon tax,Estonia,Europe & Central Asia,High income,2000,2024,2.1498
EU ETS,ETS,EU,Europe & Central Asia,High income,2005,2024,61.301547
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2024,99.98486304394962
Finland carbon tax,Carbon tax,Finland,Europe & Central Asia,High income,1990,2024,65.09700943999214
France carbon tax,Carbon tax,France,Europe & Central Asia,High income,2014,2024,47.94054
Fujian pilot ETS,ETS,Fujian,East Asia & Pacific,Upper middle income,2016,2024,3.7469075228394124
Germany ETS,ETS,Germany,Europe & Central Asia,High income,2021,2024,48.3705
Guanajuato carbon tax,Carbon tax,Guanajuato,Latin America & Caribbean,Upper middle income,2023,2024,2.716193948319883
Guangdong pilot ETS,ETS,Guangdong (except Shenzhen),East Asia & Pacific,Upper middle income,2013,2024,8.939504927231768
Hubei pilot ETS,ETS,Hubei,East Asia & Pacific,Upper middle income,2014,2024,5.6182881152129145
Hungary Carbon tax,Carbon tax,Hungary,Europe & Central Asia,High income,2023,2024,38.6964
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,36.508163849899745
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,38.957318819822405
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,36.01403609281009
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,37.811515325121746
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,3.1409087025785603
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,17.903179604697797
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,17.58347996889962
Iceland carbon tax,Carbon tax,Iceland,Europe & Central Asia,High income,2010,2024,5.869894952359933
Indonesia ETS,ETS,Indonesia,East Asia & Pacific,Upper middle income,2023,2024,0.6121651813731643
Ireland carbon tax,Carbon tax,Ireland,Europe & Central Asia,High income,2010,2024,60.194399999999995
Japan carbon tax,Carbon tax,Japan,East Asia & Pacific,High income,2012,2024,1.905075807514832
Kazakhstan ETS,ETS,Kazakhstan,Europe & Central Asia,Upper middle income,2013,2024,1.0592081691150126
Korea ETS,ETS,"Korea, Rep.",East Asia & Pacific,High income,2015,2024,6.3024274367159085
Latvia carbon tax,Carbon tax,Latvia,Europe & Central Asia,High income,2004,2024,16.1235
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,High income,2008,2024,132.12221304706853
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2024,49.907607
Luxembourg carbon tax,Carbon tax,Luxembourg,Europe & Central Asia,High income,2021,2024,52.960323
Massachusetts ETS,ETS,Massachusetts,North America,High income,2018,2024,2.25
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,4.3051447885494225
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,4.262093340663928
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,4.6342686319236694
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,4.4789567131069505
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,4.5208809784221815
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,3.5142684875890717
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,0.4554402089871383
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,0.4686192333127979
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,1.3049281078691526
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,1.0739801382701428
Mexico carbon tax,Carbon tax,Mexico,Latin America & Caribbean,Upper middle income,2014,2024,3.789162989744859
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Upper middle income,2020,2024,0.0
Montenegro ETS,ETS,Montenegro,Europe & Central Asia,Upper middle income,2022,2024,25.7976
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,2024,71.48084999999999
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,High income,2021,2024,19.3482
New Brunswick OBPS,ETS,New Brunswick,North America,High income,2021,2024,58.94488653109343
New Zealand ETS,ETS,New Zealand,East Asia & Pacific,High income,2008,2024,35.105
Newfoundland and Labrador PSS,ETS,Newfoundland and Labrador,North America,High income,2019,2024,58.94488653109343
Northwest Territories carbon tax,Carbon tax,Northwest Territories,North America,High income,2019,2024,58.94488653109343
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2024,107.78355153228915
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2024,16.250160665430307
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2024,80.97537687519508
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2024,16.15835184811149
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2024,107.96716916692678
Norway carbon tax,Carbon tax,Norway,Europe & Central Asia,High income,1991,2024,72.43715686454527
Nova Scotia OBPS,ETS,Nova Scotia,North America,High income,2019,2024,58.94488653109343
Ontario EPS,ETS,Ontario,North America,High income,2022,2024,58.94488653109343
Quebec CaT,ETS,Quebec,North America,High income,2013,2024,38.59
Queretaro carbon tax,Carbon tax,Queretaro,Latin America & Caribbean,Upper middle income,2022,2024,36.69819463642235
RGGI,ETS,RGGI,North America,High income,2009,2024,17.64
Saitama ETS,ETS,Saitama,East Asia & Pacific,High income,2011,2024,0.949241924851681
Saskatchewan OBPS,ETS,Saskatchewan,North America,High income,2019,2024,58.94488653109343
Shanghai pilot ETS,ETS,Shanghai,East Asia & Pacific,Upper middle income,2013,2024,10.06178043757688
Shenzhen pilot ETS,ETS,Shenzhen,East Asia & Pacific,Upper middle income,2013,2024,8.9560902796014
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,High income,2019,2024,18.47882326853426
Slovenia Carbon tax,Carbon tax,Slovenia,Europe & Central Asia,High income,1996,2024,18.595769999999998
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,Upper middle income,2019,2024,10.08578223203669
Spain carbon tax,Carbon tax,Spain,Europe & Central Asia,High income,2014,2024,16.1235
State of Mexico carbon tax,Carbon tax,State of Mexico,Latin America & Caribbean,Upper middle income,2022,2024,3.5008722000567385
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,1991,2024,127.25819876550447
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,1991,2024,142.94225602355647
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,1991,2024,114.69560258484962
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,1991,2024,135.06812548296767
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,1991,2024,135.95619284840433
Sweden carbon tax,Carbon tax,Sweden,Europe & Central Asia,High income,1991,2024,137.4864721024107
Switzerland carbon tax,Carbon tax,Switzerland,Europe & Central Asia,High income,2008,2024,132.12221304706853
Switzerland ETS,ETS,Switzerland,Europe & Central Asia,High income,2008,2024,59.173244999999994
Taiwan carbon fee,Carbon tax,"Taiwan, China",East Asia & Pacific,Upper middle income,2024,2024,9.121943803297722
Tianjin pilot ETS,ETS,Tianjin,East Asia & Pacific,Upper middle income,2013,2024,4.708857960278081
Tokyo CaT,ETS,Tokyo,East Asia & Pacific,High income,2010,2024,36.91496374423204
UK Carbon Price Support,Carbon tax,United Kingdom,Europe & Central Asia,High income,2013,2024,22.6188
UK ETS,ETS,United Kingdom,Europe & Central Asia,High income,2021,2024,45.061676
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Lower middle income,2011,2024,0.7677562834453832
Uruguay CO2 tax,Carbon tax,Uruguay,Latin America & Caribbean,High income,2022,2024,167.17381039819526
Washington CCA,ETS,Washington,North America,High income,2023,2024,25.75
Yucatan carbon tax,Carbon tax,Yucatan,Latin America & Caribbean,Upper middle income,2022,2024,17.693830618145384
Zacatecas carbon tax,Carbon tax,Zacatecas,Latin America & Caribbean,Upper middle income,2017,2024,15.089966379554907
