year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd
2025,23.08,40.66,40.66,17.4838,1.4191200000000004,0.0,4.17708,7360679.8,4292732100.0,0.0,1.0,0.0
2026,24.0032,40.8633,39.213031,16.86160333,1.6556400000000002,0.0,5.4859565,7098735.00193,0.0,21557.111,0.9090909090909091,0.0
2027,24.963328,41.067616,37.750341,16.232646629999998,1.8921600000000003,0.0,6.8385215,6833944.231229998,0.0,19597.373,0.8264462809917354,0.0
2028,25.961861120000002,41.272955,36.28765,15.6036895,2.1286800000000006,0.0,8.2294917,6569153.2795,0.0,17815.794,0.7513148009015775,0.0
2029,27.000335564800004,41.479319,34.824959,14.97473237,3.9356304296760007,0.0,8.0899728,6304362.327769999,0.0,16196.176,0.6830134553650705,0.0
2030,28.080348987392,41.686716,33.362268,14.34577524,6.300830429676001,0.0,7.4337432,6039571.37604,0.0,14723.797,0.6209213230591549,0.0
2031,29.203562946887686,41.89515,33.362268,14.34577524,8.666030429676002,0.0,6.1917572,6039571.37604,0.0,13385.27,0.5644739300537772,0.0
2032,30.371705464763192,42.104625,33.362268,14.34577524,11.031230429676004,0.0,4.9946997,6039571.37604,0.0,12168.427,0.5131581182307065,0.0
2033,31.58657368335372,42.315148,33.362268,14.34577524,13.396430429676004,0.0,3.8443679,6039571.37604,0.0,11062.206,0.4665073802097331,0.0
2034,32.85003663068787,42.526724,33.362268,14.34577524,15.761630429676003,0.0,2.7426309,6039571.37604,0.0,10056.551,0.42409761837248455,0.0
2035,34.16403809591539,42.739358,33.362268,14.34577524,18.126830429676005,0.0,1.6914323,6039571.37604,0.0,9142.3193,0.3855432894295314,0.0
2036,35.530599619752,42.953055,33.362268,14.34577524,20.492030429676007,0.0,0.69279386,6039571.37604,0.0,8311.1994,0.3504938994813922,0.0
2037,36.951823604542085,43.16782,33.362268,14.34577524,22.606048271052007,0.0,0.0,6039571.37604,0.0,3541.2353,0.3186308177103565,0.0
2038,38.42989654872377,43.383659,33.362268,14.34577524,24.084121212180005,0.0,0.0,6039571.37604,0.0,3184.3285,0.2896643797366877,0.0
2039,39.96709241067272,43.600577,33.362268,14.34577524,25.621317081360008,0.0,0.0,6039571.37604,0.0,2545.0813,0.26333125430607973,0.0
2040,41.56577610709963,43.81858,33.362268,14.34577524,27.22000077111601,0.0,0.0,6039571.37604,0.0,3991.4779,0.23939204936916333,0.0
2041,43.228407151383614,44.037673,33.362268,14.34577524,27.456520771116008,0.0,1.426111,6039571.37604,0.0,5160.6009,0.2176291357901485,0.0
2042,44.957543437438964,44.257861,33.362268,14.34577524,27.69304077111601,0.0,2.9187273,6039571.37604,0.0,4691.4554,0.19784466890013497,0.0
2043,46.75584517493653,44.479151,33.362268,14.34577524,27.92956077111601,0.0,4.4805091,6039571.37604,0.0,4264.9594,0.17985878990921358,0.0
2044,48.626078981933986,44.701546,33.362268,14.34577524,28.16608077111601,0.0,6.1142229,6039571.37604,0.0,3877.2359,0.16350799082655781,0.0
2045,50.57112214121135,44.925054,33.362268,14.34577524,28.40260077111601,0.0,7.822746,6039571.37604,0.0,3524.7599,0.14864362802414344,0.0
