case,npv_total_cost_usd,cumulative_emissions_tco2
baseline_no_policy,11915294625.711243,154574275.79999998
ndc_unconditional_20,14436412747.237984,100121866.00636004
ndc_conditional_47,15655864504.395489,73785345.53560999
