from_case,to_case,delta_cost_usd,note
ndc_unconditional_20,ndc_unconditional_20_eaas,-263881461338.163,"Same emissions level — EaaS vs non-EaaS financing comparison. MAC undefined. This represents the cost difference from switching financing regime, not from abating emissions."
ndc_conditional_47,ndc_conditional_47_eaas,-469020419290.8484,"Same emissions level — EaaS vs non-EaaS financing comparison. MAC undefined. This represents the cost difference from switching financing regime, not from abating emissions."
