case,cum_gas_to_power_twh_th,cum_gas_generation_twh_e,cum_solar_generation_twh_e,cum_storage_discharge_twh_e,cum_unserved_twh,cum_emissions_tco2_timeseries
baseline_no_policy,853.8599999999998,367.15979999999985,295.32674884921204,53.15881473,22.203812120000002,154574275.8
ndc_unconditional_20,707.7418479999999,304.32899463999996,323.12665813122,58.16279819999999,52.23072601999999,128122506.74343996
ndc_conditional_47,510.057838,219.32487034,356.5062016383781,64.17111647699998,97.8469896,92335770.41314001
ndc_unconditional_20_eaas,707.7418479999999,304.32899463999996,402.98439959154007,26.438205599999996,4.09757738,128122506.74343996
ndc_conditional_47_eaas,510.057838,219.32487034,451.33966126544414,54.536781600000005,12.64786384,92335770.41314001
