year,demand_twh,gas_avail_twh_th,gas_to_power_twh_th,gas_generation_twh_e,solar_generation_twh_e,storage_discharge_twh_e,unserved_twh,emissions_tco2,gas_shadow_price_usd_per_twh_th,carbon_shadow_usd_per_tco2,discount_factor,subsidy_per_mw_usd,solar_eaas_add_mw
2025,23.08,40.66,40.66,17.4838,3.5478000000000005,0.638604,1.409796,7360679.8,4292732100.0,0.0,1.0,0.0,1000.0
2026,24.0032,40.66,36.852204,15.84644772,5.913000000000001,1.06434,1.1794121,6671354.49012,0.0,21557.111,0.9090909090909091,0.0,0.0
2027,24.963328,40.66,33.028686,14.20233498,8.278200000000002,1.490076,0.99271682,5979183.02658,0.0,19597.373,0.8264462809917354,0.0,0.0
2028,25.961861120000002,40.66,29.205169,12.558222670000001,10.643400000000002,1.915812,0.84442663,5287011.744070001,0.0,17815.794,0.7513148009015775,0.0,1000.0
2029,27.000335564800004,40.66,25.381651,10.91410993,13.008600000000003,2.341548,0.73607777,4594840.28053,0.0,16196.176,0.6830134553650705,0.0,1000.0
2030,28.080348987392,40.66,21.558133,9.26999719,15.373800000000003,2.767284,0.66926789,3902668.8169899997,0.0,14723.797,0.6209213230591549,0.0,0.0
2031,29.203562946887686,40.66,21.558133,9.26999719,17.166281839020005,2.767284,0.0,3902668.8169899997,0.0,68.14236,0.5644739300537772,0.0,757.85635
2032,30.371705464763192,40.66,21.558133,9.26999719,18.334424364804004,2.767284,0.0,3902668.8169899997,0.0,58.340159,0.5131581182307065,0.0,0.0
2033,31.58657368335372,40.66,21.558133,9.26999719,19.549292575536004,2.767284,0.0,3902668.8169899997,0.0,50.182924,0.4665073802097331,0.0,513.64291
2034,32.85003663068787,40.66,21.558133,9.26999719,20.812755523212005,2.767284,0.0,3902668.8169899997,0.0,42.213576,0.42409761837248455,0.0,534.18863
2035,34.16403809591539,40.66,21.558133,9.26999719,22.126757000148004,2.767284,0.0,3902668.8169899997,0.0,11.378334,0.3855432894295314,0.0,555.55618
2036,35.530599619752,40.66,21.558133,9.26999719,23.493318519132007,2.767284,0.0,3902668.8169899997,0.0,12.647876,0.3504938994813922,0.0,0.0
2037,36.951823604542085,40.66,21.558133,9.26999719,24.914542506444004,2.767284,0.0,3902668.8169899997,0.0,8.7054197,0.3186308177103565,0.0,0.0
2038,38.42989654872377,40.66,21.558133,9.26999719,26.392615447572002,2.767284,0.0,3902668.8169899997,0.0,7.7024535,0.2896643797366877,0.0,0.0
2039,39.96709241067272,40.66,21.558133,9.26999719,27.929811316752005,2.767284,0.0,3902668.8169899997,0.0,4.8865873,0.26333125430607973,0.0,0.0
2040,41.56577610709963,40.66,21.558133,9.26999719,29.528495006508006,2.767284,0.0,3902668.8169899997,0.0,6.1908175,0.23939204936916333,0.0,675.91903
2041,43.228407151383614,40.66,21.558133,9.26999719,31.19112604101601,2.767284,0.0,3902668.8169899997,0.0,5.4690645,0.2176291357901485,0.0,0.0
2042,44.957543437438964,40.66,21.558133,9.26999719,32.920262336772005,2.767284,0.0,3902668.8169899997,0.0,4.8273756,0.19784466890013497,0.0,731.07403
2043,46.75584517493653,40.66,21.558133,9.26999719,34.71856408152001,2.767284,0.0,3902668.8169899997,0.0,4.2571585,0.17985878990921358,0.0,760.31699
2044,48.626078981933986,40.66,21.558133,9.26999719,36.58879789700401,2.767284,0.0,3902668.8169899997,0.0,3.7507215,0.16350799082655781,0.0,790.72967
2045,50.57112214121135,40.66,21.558133,9.26999719,38.53384104902401,2.767284,0.0,3902668.8169899997,0.0,84.047105,0.14864362802414344,0.0,0.0
